environment_biome	environment_biome_hl	environment_biome_hl2
fermentation pit for CSFL	terrestrial	land
dog gut	terrestrial	land
Faeces	unclassified	unclassified
hydrothermal vent	marine	unclassified
host-associated	unclassified	unclassified
culturing environment	unclassified	unclassified
freshwater biome	terrestrial	freshwater
subtropical desert biome	terrestrial	land
Homo sapiens	terrestrial_probable	land
Hot spring	terrestrial	unclassified
rangeland biome	terrestrial_probable	land
Earthworm	terrestrial	unclassified
volar forearm	unclassified	unclassified
nasal	unclassified	unclassified
Healthy human faecal samples	terrestrial_probable	land
broccoli leaf surfaces	terrestrial	land
Biofilm	unclassified	unclassified
human	terrestrial_probable	land
large lake biome	terrestrial	freshwater
root and rhizosphere	terrestrial_probable	unclassified
Anaerobic reactor	terrestrial_probable	land
bioreactor	terrestrial_probable	land
Natural and intervened landscapes of wine growing areas	terrestrial	land
root	unclassified	unclassified
urine	unclassified	unclassified
vagina	terrestrial_probable	unclassified
anaerobic reactor	terrestrial_probable	land
activated sludge originally, centrate, methane, ammonia	unclassified	unclassified
activated sludge originally, centrate, methane continuous feeding, ammonia	unclassified	unclassified
activated sludge originally, centrate, methane starvation, ammonia	unclassified	unclassified
Human	terrestrial_probable	unclassified
Bronchoscope	unclassified	unclassified
Control	unclassified	unclassified
arcto-alpine tundra biome	terrestrial	land
soil	terrestrial_probable	land
Terrestrial	terrestrial	unclassified
aquatic	unclassified	unclassified
limestone aquifers	terrestrial_probable	unclassified
HOT	unclassified	unclassified
Extream	unclassified	unclassified
rumen bacteria	terrestrial	land
gut	unclassified	unclassified
agricultural site	terrestrial	land
human-associated habitat [ENVO:00009003]	terrestrial_probable	land
anthropogenic environmental material	unclassified	unclassified
gut mucosa	unclassified	unclassified
Rhizosphere	terrestrial_probable	land
Inflorescence	unclassified	unclassified
Sprout tuber	unclassified	unclassified
Phyllosphere	unclassified	unclassified
human microbiome	terrestrial_probable	land
green house	terrestrial	land
Saltmarsh	terrestrial	land
temperate seminatural grassland	terrestrial	land
anthropogenic ecosystem	unclassified	unclassified
tropical moist broadleaf forest	terrestrial	land
tropical shrubland	terrestrial	land
mediterranean forest, woodland and scrub	terrestrial	land
deserts and xseric shrublands	terrestrial	land
tundra	terrestrial	land
temperate natural grassland	terrestrial	land
subtropical shrubland	terrestrial	land
desert biome	terrestrial	land
Small lake biome	terrestrial	freshwater
Amazon	terrestrial	unclassified
enviromental system	unclassified	unclassified
anthropogenic terrestrial	terrestrial	land
01000219	unclassified	unclassified
woodland	terrestrial	land
human-fecal	terrestrial_probable	land
Mounstain meadow	terrestrial	land
1000743	unclassified	unclassified
Sinus	unclassified	unclassified
estuarine biome	marine_and_terrestrial	unclassified
Soil	terrestrial_probable	unclassified
organic matter	unclassified	unclassified
Desert	terrestrial	unclassified
shallow marine sediment	marine	unclassified
marine benthic	marine	unclassified
developing upland soil	terrestrial_probable	land
Aquatic	unclassified	unclassified
granular sludge	unclassified	unclassified
Nasal microbiome	unclassified	unclassified
Gurbantunggut Desert	terrestrial	unclassified
rainbow trout	marine_and_terrestrial	unclassified
Rainbow trout	marine_and_terrestrial	unclassified
chicken	terrestrial	land
Temperate Forest	terrestrial	unclassified
Terrestrial biome	terrestrial	unclassified
Arctic tundra	terrestrial	land
wast sludge	unclassified	unclassified
waste sludge	unclassified	unclassified
Taiga biome	terrestrial	unclassified
ENVO:01000219	unclassified	unclassified
chichen	terrestrial	land
Root Nodule	unclassified	unclassified
ENVO:human-associated habitat	terrestrial_probable	land
Deyeuxia arundinacea	unclassified	unclassified
Nunu	unclassified	unclassified
mammalia-associated habitat	unclassified	unclassified
oral	unclassified	unclassified
murine	terrestrial_probable	land
Agricultural soil	terrestrial	unclassified
Saliva	unclassified	unclassified
compost	terrestrial	land
Freshwater	terrestrial	freshwater
Anaerobic digester	terrestrial_probable	land
temperate coniferous forest	terrestrial	land
temperate broadleaf forest	terrestrial	land
Meadow	terrestrial	unclassified
Forest	terrestrial	unclassified
EnvO	unclassified	unclassified
Human-associated	terrestrial_probable	unclassified
female-fallopian tubes	unclassified	unclassified
female-peritoneal fluid	unclassified	unclassified
enviromental control	unclassified	unclassified
female-endometrium	unclassified	unclassified
redbanded seabream	marine	unclassified
anatomical entity environment	unclassified	unclassified
feces	unclassified	unclassified
Lake Bed	terrestrial	freshwater
epipelagic layer	marine	unclassified
sea surface microlayer	marine	unclassified
sea surface	marine	unclassified
control	unclassified	unclassified
marine pelagic biome [ENVO:01000023]	marine	unclassified
material anatomical entity	unclassified	unclassified
Insect	unclassified	unclassified
organism-associated habitat	unclassified	unclassified
Brines	marine_and_terrestrial	unclassified
Sediments	unclassified	unclassified
Caecum	unclassified	unclassified
microbe	unclassified	unclassified
anthropogenic terrestrial biome [ENVO_01000219]	terrestrial	land
Vagina	terrestrial_probable	land
ENVO:00002003	unclassified	unclassified
lichen and moss	marine	unclassified
small river biome	terrestrial	freshwater
aquatic biome	unclassified	unclassified
tundra biome	terrestrial	land
grassland biome	terrestrial	land
dense settlement biome	terrestrial	land
forest biome	terrestrial	land
temperate broadleaf and mixed forest biome	terrestrial	land
shrubland biome	terrestrial	land
tropical grassland biome	terrestrial	land
rainforest	terrestrial	land
Rat intestine	terrestrial_probable	unclassified
Cells	unclassified	unclassified
farmland	terrestrial	land
stems of Solanum tuberosum	unclassified	unclassified
Bog Forest	terrestrial	unclassified
ENVO:01000246	unclassified	unclassified
environmental_samples	unclassified	unclassified
rhizosphere and bulk soil	terrestrial_probable	land
indoor microbiome	terrestrial	land
temperate grassland biome	terrestrial	land
host-associated habitat	unclassified	unclassified
cow rumen	terrestrial	land
Biogas fermenter	terrestrial	land
faeces	unclassified	unclassified
Red anemone (Actinia equine) surface	marine	unclassified
temperate zone	unclassified	unclassified
Protist community	unclassified	unclassified
water kefir	unclassified	other_terrestrial_water
insect	unclassified	unclassified
agricultural field	terrestrial	land
boreal forest	terrestrial	land
Woodland	terrestrial	unclassified
terrestrial	terrestrial	land
Intestinal microbiome	unclassified	unclassified
coastal ocean	marine_and_terrestrial	unclassified
Chicken	terrestrial	unclassified
Mediterranean forest	terrestrial	land
Pine needle	unclassified	unclassified
upflow anaerobic sludge blanket reactor	terrestrial_probable	land
fluidized bed reactor	terrestrial_probable	land
stool	unclassified	unclassified
Host-associated	unclassified	unclassified
Fjord	marine	unclassified
River	terrestrial	freshwater
tongue coat	unclassified	unclassified
temperate marine upwelling biome	marine	unclassified
human intestinal tract	terrestrial_probable	land
subterrestrial habitat	terrestrial	land
Permafrost landscape	terrestrial	unclassified
temperate land	terrestrial	land
Boreal coniferous forest	terrestrial	land
mice microbiome	terrestrial_probable	land
temperate woodland biome	terrestrial	land
rhizosphere	terrestrial_probable	unclassified
wetland	terrestrial	land
concentration basin mediterranean sea biome [ENVO:01000004]	marine	unclassified
Wastewater	terrestrial_probable	other_terrestrial_water
wastewater	terrestrial_probable	other_terrestrial_water
peatland	terrestrial	land
city	terrestrial	land
pika	terrestrial	land
Sludge	unclassified	unclassified
stool sample	unclassified	unclassified
Biogas reactor (CSTR, DDGS)	terrestrial_probable	land
ENVO:00000021	unclassified	unclassified
Botryococcus braunii Race A &amp; B	unclassified	unclassified
ENVO:cropland biome	terrestrial	land
oceanic abissopelagic zone biome [ENVO:01000038]	marine	unclassified
rumen	terrestrial	land
deciduous woodland	terrestrial	land
area of cropland	terrestrial	land
neritic epipelagic zone biome [ENVO:01000042]	marine	unclassified
grassland	terrestrial	land
mixed forest biome	terrestrial	land
wastewater treatment plant	terrestrial_probable	other_terrestrial_water
gastric biopsy	unclassified	unclassified
Marine biome	marine	unclassified
air	unclassified	unclassified
seawater from aquaculture system	marine	unclassified
peat swamp forest	terrestrial	land
Westerlies Biome	marine	unclassified
human host	terrestrial_probable	land
Salt marsh	terrestrial	land
Sat marsh	terrestrial	land
bamboo	terrestrial	land
Wheat	terrestrial	unclassified
freshwater biome [ENVO:00000873]	terrestrial	freshwater
lung	unclassified	unclassified
Deciduous Forest	terrestrial	unclassified
chicken gut	terrestrial	land
freshwater environment	terrestrial	freshwater
water body	unclassified	other_terrestrial_water
oceanic epipelagic zone biome [ENVO:01000035]	marine	unclassified
paddy	terrestrial	land
Oral	unclassified	unclassified
ENVO:01000221	unclassified	unclassified
ENVO_01001042	unclassified	unclassified
drinking water	terrestrial	other_terrestrial_water
built environment	terrestrial_probable	land
shower hose biofilms	terrestrial_probable	land
anthropogenic terrestrial biome [ENVO:01000219]	terrestrial	land
Scots pine forest	terrestrial	land
Mangrove biome	marine_and_terrestrial	unclassified
children	unclassified	unclassified
oilfield	unclassified	unclassified
harbor seal	marine	unclassified
4907	unclassified	unclassified
human skin	terrestrial_probable	land
skin	unclassified	unclassified
Anaerobic digester  microbiome	terrestrial_probable	land
Urban	terrestrial	unclassified
freshwater lake biome	terrestrial	freshwater
marine hydrothermal vent biome	marine	unclassified
biogas reactor (CSTR, VFA fed)	terrestrial_probable	land
Female	unclassified	unclassified
Male	unclassified	unclassified
Mountain meadow	terrestrial	land
tropical forest	terrestrial	land
Semi-desert	terrestrial	land
Temperate forests	terrestrial	land
cow rumen papillae	terrestrial	land
Sheep	terrestrial	unclassified
tobacco farmland	terrestrial	land
peanut-cassava intercroping	terrestrial	land
peanut monocropping	terrestrial	land
peanut	terrestrial	land
Anaerobic digester microbiome	terrestrial_probable	land
Earthworm digestive tract	terrestrial	unclassified
tropical broadleaf forest biome	terrestrial	land
Gut	unclassified	unclassified
groundwater	terrestrial	other_terrestrial_water
marine habitat	marine	unclassified
human stool	terrestrial_probable	land
wheat	terrestrial	land
arid steppe	terrestrial	land
ice	unclassified	unclassified
prokaryote	unclassified	unclassified
Monkey gut	terrestrial	unclassified
Peatland	terrestrial	unclassified
Subsurface	unclassified	unclassified
bovine slurry	terrestrial	land
tropical semi-deciduous broadleaf forest	terrestrial	land
seed	unclassified	unclassified
Great Basin Desert	terrestrial	unclassified
mediterranean shrubland	terrestrial	land
human oral	terrestrial_probable	land
deep subsurface	unclassified	unclassified
Mouse	terrestrial_probable	unclassified
Rumen	terrestrial	unclassified
RUSITEC	unclassified	unclassified
organism substance	unclassified	unclassified
Rattus norvegicus gut	terrestrial_probable	unclassified
Crude oil contaminated sand	unclassified	unclassified
Forest soil	terrestrial	unclassified
terrestrial artificial anaerobic	terrestrial	land
marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339]	marine	unclassified
oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339]	marine	unclassified
oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome                     [ENVO_01000339]	marine	unclassified
Flax plant	unclassified	unclassified
marine sediment	marine	unclassified
underground system	terrestrial	land
1000221	unclassified	unclassified
Acid mine drainage	terrestrial_probable	land
deciduous/coniferous forest	terrestrial	land
Styrene biotrickling filter	unclassified	unclassified
root matter	unclassified	unclassified
lymph node sample of pig	terrestrial	land
archaeal community	unclassified	unclassified
antarctic brines	marine_and_terrestrial	unclassified
agar	unclassified	unclassified
Bird Skin	unclassified	unclassified
Herdsmen	terrestrial	unclassified
leaf types	unclassified	unclassified
Cold seep	marine	unclassified
microorganisms	unclassified	unclassified
area of developed open space	terrestrial	land
alpine paramo	terrestrial	land
area of developed space with high usage intensity	terrestrial	land
Tropical rain forest primate gut	terrestrial	land
Hydrothermal vent	marine	unclassified
deep terrestrial biosphere	terrestrial	land
ENVO 00002046	unclassified	unclassified
bloom	unclassified	unclassified
grass and shrubs	terrestrial_probable	land
marine biome (ENVO:00000447)	marine	unclassified
clams fluids	marine	unclassified
Clams fluids	marine	unclassified
Bos taurus x Bison bison	terrestrial	land
Animal	unclassified	unclassified
Ecological community	unclassified	unclassified
bay	marine_and_terrestrial	unclassified
insect gut	unclassified	unclassified
Paraná River	terrestrial	freshwater
Temperate	unclassified	unclassified
Aquatic Biome	unclassified	unclassified
aquarium	unclassified	unclassified
neritic epipelagic zone biome�	marine	unclassified
semi-arid soil	terrestrial	land
Polar biome	unclassified	unclassified
Tundra biome	terrestrial	unclassified
environmental system determined by an organim	terrestrial_probable	land
Pepper field	terrestrial	unclassified
proglacial soil	terrestrial	land
subsahelian climate	terrestrial	land
human tissue	terrestrial_probable	land
Brackish water	marine_and_terrestrial	other_terrestrial_water
Paraná River, Argentina	terrestrial	freshwater
Sea water	marine	other_terrestrial_water
snow	terrestrial	land
ENVO:desk	unclassified	unclassified
permafrost biome	terrestrial	land
marine sub-littoral zone	marine	unclassified
environmental material	unclassified	unclassified
organic feature	unclassified	unclassified
marine abyssal zone biome [ENVO:01000027]	marine	unclassified
marine abyssal zone biome [ENVO:01000027]|marine ultramafic hydrothermal vent biome                     [ENVO:01000053]	marine	unclassified
oceanic epipelagic zone biome	marine	unclassified
oceanic mesopelagic zone biome	marine	unclassified
Boreal Forest	terrestrial	unclassified
mangrove biome: ENVO_01000181	marine_and_terrestrial	unclassified
Sandy top soil (0-30 cm)	terrestrial_probable	land
fermented food product	terrestrial	land
zebrafish gut	marine	unclassified
Human associated habitat	terrestrial_probable	unclassified
Coastal	marine_and_terrestrial	unclassified
Marine coastal environment	marine_and_terrestrial	unclassified
Fresh waters	terrestrial	freshwater
tropical lowland	terrestrial	land
City	terrestrial	unclassified
food	unclassified	unclassified
Salad	terrestrial	unclassified
marine ultramafic hydrothermal vent biome [ENVO:01000053]	marine	unclassified
ENVO:00002030	unclassified	unclassified
marine biome ENVO:00000447	marine	unclassified
chiclken	terrestrial	land
freshwater lake sediment	terrestrial	freshwater
urban	terrestrial	land
temperate marine	marine	unclassified
fecal	unclassified	unclassified
marine pelagic biome	marine	unclassified
Coaster surface seawater	marine_and_terrestrial	unclassified
Coastal surface seawater	marine_and_terrestrial	unclassified
subpolar coniferous forest biome	terrestrial	land
temperate deciduous broadleaf forest	terrestrial	land
Farm	terrestrial	unclassified
tropical montane rainforest	terrestrial	land
pot experiment	unclassified	unclassified
mictobiome	unclassified	unclassified
freshwater river biome	terrestrial	freshwater
taiga (boreal forest)	terrestrial	land
Wetland	terrestrial	other_terrestrial_water
marine pelagic	marine	unclassified
marine plankton	marine	unclassified
Marine	marine	unclassified
Mediterranean and continental	terrestrial_probable	land
human feces	terrestrial_probable	land
ENVO: 00000016	unclassified	unclassified
estuarine	marine_and_terrestrial	unclassified
intertidal sediment	marine_and_terrestrial	unclassified
steppe	terrestrial	land
Pampa	terrestrial	unclassified
large artificial lake	terrestrial	freshwater
esturine	marine_and_terrestrial	unclassified
ENVO_03000034	unclassified	unclassified
cropland Biome	terrestrial	land
Environmental material	unclassified	unclassified
spikelet	unclassified	unclassified
rachis	unclassified	unclassified
agricultural soil	terrestrial	land
agricuture	unclassified	unclassified
pig	terrestrial	land
poultry	terrestrial	unclassified
Agricultural farm	terrestrial	unclassified
ruminant	unclassified	unclassified
anaerobic reactor sludge	terrestrial_probable	land
Freshwater lake biome	terrestrial	freshwater
freshwater lake biome ENVO:01000262	terrestrial	freshwater
lake ENVO:00000020	terrestrial	freshwater
ENVO:01001002	unclassified	unclassified
temperate shrubland biome	terrestrial	land
1998	unclassified	unclassified
ENVO:01000049	unclassified	unclassified
temperate grassland	terrestrial	land
Rural area of forests and prairies	terrestrial	land
cultivated environment	terrestrial	land
intestine environment	unclassified	unclassified
biome	unclassified	unclassified
ENVO_00002005	unclassified	unclassified
human body	terrestrial_probable	land
polar domain	unclassified	unclassified
anthropogenic environment	unclassified	unclassified
blood plasma	terrestrial	land
village	terrestrial	land
Marine sediment	marine	unclassified
augmentation	unclassified	unclassified
Leaf	unclassified	unclassified
SOIL	terrestrial_probable	unclassified
Area of cropland	terrestrial	land
microbiome termite gut	terrestrial	land
Plant rhizosphere	terrestrial_probable	unclassified
biofilter	unclassified	unclassified
Pampa, eco-region delta and islands of the Parana	terrestrial	land
agriculture	terrestrial	land
giant panda	terrestrial	land
panda	terrestrial	land
Marine sponge	marine	unclassified
Buffer	unclassified	unclassified
2334 m above sea level &quot;Quebrada de Humahuaca&quot; Plateau of Andean mountain range	marine	unclassified
2334 m above sea level. &quot;Quebrada de Humahuaca&quot; Plateau of Andean mountain range	marine	unclassified
2334m above sea level &quot;Quebrada de Humahuaca&quot; Plateau of Andean mountain range	marine	unclassified
2500 m above sea level. Temperature variation between day and night. Highlands of Central Peruvian Andes	marine	unclassified
Temperature variation between day and night. Highlands of Central Peruvian Andes	terrestrial	unclassified
colon	unclassified	unclassified
Lacustrine	unclassified	unclassified
grassland/forest	terrestrial	land
mouse colon	terrestrial_probable	land
Mosue colon	terrestrial_probable	unclassified
marine neritic benthic zone biome	marine	unclassified
coastal lagoon	marine_and_terrestrial	unclassified
sediment environment	unclassified	unclassified
marine coastal zone epifouling biome	marine_and_terrestrial	unclassified
coastal woodland	marine_and_terrestrial	unclassified
rocky shore	marine_and_terrestrial	unclassified
ocean beach	marine_and_terrestrial	unclassified
marine neritic plankton biome	marine	unclassified
Sand	unclassified	unclassified
sand	unclassified	unclassified
intertidal zone	marine_and_terrestrial	unclassified
marine biofouling	marine	unclassified
internal/external nematode body	unclassified	unclassified
respiratory	unclassified	unclassified
temperate mediterranean sea biome	marine	unclassified
pig manure	terrestrial	land
glacial lake	terrestrial	freshwater
marine benthic biome [ENVO:01000024]	marine	unclassified
animal	unclassified	unclassified
Amazon river basin	terrestrial	freshwater
Tundra	terrestrial	unclassified
gaint panda	terrestrial	land
alpine meadow, alpine shrub meadow, mix of shrub and conifers	terrestrial	land
Oil seed rape soils	terrestrial_probable	land
Agricultural fields	terrestrial	unclassified
terrestrial_biome	terrestrial	land
mining area	unclassified	unclassified
seawater biome	marine	unclassified
coastal sea water	marine_and_terrestrial	unclassified
ENVO:animal-associated habitat	unclassified	unclassified
tropical rainforest	terrestrial	land
marshes	terrestrial	land
anaerobic biomass	unclassified	unclassified
GUT	unclassified	unclassified
ecological community	unclassified	unclassified
Cold Seep	marine	unclassified
Rice paddy	terrestrial	land
industrial building	unclassified	unclassified
Sulde	unclassified	unclassified
human-skin	terrestrial_probable	land
Microbiome	unclassified	unclassified
Brassicaceae	terrestrial	unclassified
ENVO:02000022	unclassified	unclassified
ENVO:02000019	unclassified	unclassified
Atlantic Forest	terrestrial	unclassified
lower digestive tract	unclassified	unclassified
Gut Microbiome	unclassified	unclassified
Marine sediment (ENVO:03000033)	marine	unclassified
simulated	unclassified	unclassified
Mouse intestine environment	terrestrial_probable	unclassified
Dietary supplement powder	unclassified	unclassified
marine water body (ENVO:00001999)	marine	other_terrestrial_water
temperate terrestrial ecosystem	terrestrial	land
semi-arid	terrestrial	land
Boreal Peatlands	terrestrial	unclassified
Human stool	terrestrial_probable	unclassified
salmon hindgut	unclassified	unclassified
RAS freshwater	terrestrial	freshwater
deep marine sediment	marine	unclassified
Temperate deciduous forest	terrestrial	land
urban biome (ENVO:01000249)	terrestrial	land
human skin oral gut	terrestrial_probable	land
cod larvae	unclassified	unclassified
Arctic-alpine desert	terrestrial	land
laboratory facility	terrestrial_probable	land
Arctic-alpine desert, biocrust, soil	terrestrial	land
neritic epipelagic zone biome (ENVO_01000042)	marine	unclassified
ENVO:urban biome	unclassified	unclassified
ENVO:00000446	unclassified	unclassified
temperate biome	unclassified	unclassified
Young mice	terrestrial_probable	land
Aged mice	terrestrial_probable	land
Stone	unclassified	unclassified
G.morhua	unclassified	unclassified
dry deciduous forest	terrestrial	land
temple park	unclassified	unclassified
remnant of dry deciduous forest - edge of field	terrestrial	land
Lung	unclassified	unclassified
bentonite-groundwater	terrestrial	other_terrestrial_water
bentonite-surfacewater	unclassified	other_terrestrial_water
groundwater mixture	terrestrial	other_terrestrial_water
surface water	unclassified	other_terrestrial_water
ENVO:00000874	unclassified	unclassified
mediterranean sea biome	marine	unclassified
Antarctic Cold Desert	terrestrial	unclassified
Freshwater biome. ENVO:00000873	terrestrial	freshwater
terrestrial biome ENVO:00000446	terrestrial	land
Anaerobic membrane reactors treating domestic wastewater at 4C and 15C inoculated by soils and sediments from Lake Geneva and Svalbard	terrestrial	unclassified
alpine tundra	terrestrial	land
fecal microbiota	unclassified	unclassified
cropping	terrestrial	land
Land	terrestrial_probable	unclassified
glacier	unclassified	unclassified
coastal environment	marine_and_terrestrial	unclassified
marine biome [ENVO:00000447]	marine	unclassified
solitary bee	terrestrial	land
caecum	unclassified	unclassified
marine biome [ENVO:00000447] | polar biome [ENVO:01000339]	marine	unclassified
ENVO:01001029	unclassified	unclassified
ENVO_01001803	unclassified	unclassified
Experiement with winter wheat plants: Controlled Temperature 12�C	terrestrial	land
river	terrestrial	freshwater
wastewater (ENVO:00002001)	terrestrial_probable	other_terrestrial_water
Experiment with Zea maize controlled temperature	terrestrial	land
soil_environment	terrestrial_probable	land
not provided	unclassified	unclassified
human-microbiota	terrestrial_probable	land
marine pelagic biome (ENVO_01000023)	marine	unclassified
mouse caecum	terrestrial_probable	land
freshwater biome (ENVO:00000873)	terrestrial	freshwater
commercial food enzyme product	unclassified	unclassified
animal house	unclassified	unclassified
Pig digestive system	terrestrial	unclassified
honeybee	terrestrial	land
coral reef biome	marine	unclassified
mock sample	unclassified	unclassified
blank	unclassified	unclassified
terrestrial biome (ENVO_00000446)	terrestrial	land
Bacterial microbiome	unclassified	unclassified
Seychelles warbler	unclassified	unclassified
Shallow lake	terrestrial	freshwater
digestive tract environment ENVO:01001187	unclassified	unclassified
serous membrane UBERON:0000042	unclassified	unclassified
fresh river water	terrestrial	freshwater
Iris	unclassified	unclassified
Hyacinthus orientalis	unclassified	unclassified
Solanum tuberosum	terrestrial	unclassified
Consolida ambigua	unclassified	unclassified
Schizanthus sp.	unclassified	unclassified
Lycopersicon esculentum	unclassified	unclassified
irrigation canal water	unclassified	other_terrestrial_water
Infected potato tissue	unclassified	unclassified
Mus	unclassified	unclassified
Homo�sapiens	unclassified	unclassified
Ocean water	marine	other_terrestrial_water
Severely preterm infant	unclassified	unclassified
Tropical broadleaf forest biome	terrestrial	land
marine ultramafic hydrothermal vent biome	marine	unclassified
marine basaltic hydrothermal vent biome	marine	unclassified
marine ultramafic hydrothermal vent	marine	unclassified
farmland,forest,Gobi desert,grassland, mine wasteland	terrestrial	land
ENVO_2100002	unclassified	unclassified
organ	unclassified	unclassified
mouse gut microbiome	terrestrial_probable	land
negative control	unclassified	unclassified
endometrium	unclassified	unclassified
marine cold seep biome [ENVO:01000127]	marine	unclassified
See sample listed under &apos;sample_derived_from&apos; for metadata.	unclassified	unclassified
urinary bladder	unclassified	unclassified
piggery	terrestrial	land
oral mucosa	unclassified	unclassified
Gullmar Fjord	marine	unclassified
